               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11939,            0.039395,            0.076952,            0.012524,            0.016567,           0.0060202,           0.0012073,             0.11154,            0.034549,            0.075331,             0.00025,             0.00025,             0.09775
                   1,             0.10893,            0.046795,            0.074632,            0.071195,            0.026424,            0.010814,           0.0026487,            0.098756,            0.039763,            0.071903,          0.00050989,          0.00050989,             0.09541
                   2,            0.097979,            0.051788,            0.070678,             0.27347,            0.098019,            0.043798,            0.014721,            0.085696,            0.041734,            0.067197,          0.00076932,          0.00076932,            0.093069
                   3,            0.085787,            0.052001,            0.065727,             0.87951,            0.085136,            0.055718,            0.013916,            0.076783,            0.038894,            0.062893,           0.0010279,           0.0010279,            0.090728
                   4,            0.076352,            0.049118,            0.061733,             0.82567,            0.098698,            0.090272,            0.037341,            0.065189,            0.033554,            0.060247,           0.0012854,           0.0012854,            0.088385
                   5,             0.06891,            0.042134,            0.058594,             0.11319,              0.3969,             0.16602,            0.064856,            0.056668,            0.029262,            0.055934,           0.0015414,           0.0015414,            0.086041
                   6,            0.068131,            0.037557,            0.055683,             0.11576,             0.42605,             0.20753,            0.071505,            0.064655,            0.026617,            0.052663,           0.0017956,           0.0017956,            0.083696
                   7,            0.067794,            0.036552,            0.053814,             0.39326,             0.40519,             0.29124,            0.090144,            0.059452,            0.025353,            0.049147,           0.0020476,           0.0020476,            0.081348
                   8,            0.066197,            0.035541,            0.050234,             0.27357,              0.5027,             0.32787,             0.12341,            0.059201,            0.024025,            0.046113,           0.0022971,           0.0022971,            0.078997
                   9,            0.064792,            0.033714,            0.048504,             0.27449,              0.6101,             0.41691,             0.16341,            0.055079,            0.023114,             0.04377,           0.0025437,           0.0025437,            0.076644
                  10,            0.064358,            0.031528,            0.045321,             0.35007,             0.60486,             0.47343,             0.20855,            0.052251,             0.02272,            0.040666,           0.0027872,           0.0027872,            0.074287
                  11,            0.062666,            0.032896,            0.043427,             0.52333,             0.55461,              0.5413,             0.20764,            0.056396,            0.021741,            0.038485,           0.0030273,           0.0030273,            0.071927
                  12,             0.06144,            0.032586,             0.04097,             0.40829,             0.57009,             0.46792,             0.16299,            0.058503,            0.020695,            0.035563,           0.0032635,           0.0032635,            0.069564
                  13,            0.059714,            0.030284,            0.038756,              0.5646,             0.58901,             0.54757,              0.2099,            0.057161,            0.020666,            0.033016,           0.0034957,           0.0034957,            0.067196
                  14,            0.059431,            0.030018,            0.036356,             0.40371,             0.75797,             0.61714,             0.23803,            0.054192,            0.020782,            0.030763,           0.0037234,           0.0037234,            0.064823
                  15,            0.058074,            0.030238,            0.034163,             0.63619,             0.60979,             0.61495,             0.24008,            0.053871,            0.020174,            0.028818,           0.0039465,           0.0039465,            0.062446
                  16,            0.058389,             0.02953,            0.031883,             0.40353,              0.8496,             0.72381,             0.32519,            0.047168,            0.020014,            0.027182,           0.0041645,           0.0041645,            0.060065
                  17,            0.054426,            0.027559,            0.030092,             0.73112,             0.58224,             0.70349,             0.30993,            0.047194,            0.019758,            0.026132,           0.0043773,           0.0043773,            0.057677
                  18,            0.056093,            0.027985,            0.028943,             0.77399,             0.58034,             0.75514,             0.35421,            0.047531,            0.019723,            0.024441,           0.0045846,           0.0045846,            0.055285
                  19,            0.059703,            0.029305,            0.027639,             0.56501,             0.75743,             0.70951,             0.29723,             0.04667,            0.020552,            0.024145,           0.0047861,           0.0047861,            0.052886
                  20,            0.060175,            0.028288,            0.026493,             0.72798,             0.56754,             0.70927,             0.26157,            0.049652,            0.019631,            0.022753,           0.0049816,           0.0049816,            0.050482
                  21,            0.058541,            0.027528,            0.025046,             0.57732,             0.76948,             0.69838,             0.29007,            0.052422,            0.019423,            0.020593,           0.0051708,           0.0051708,            0.048071
                  22,            0.055943,            0.027091,            0.023122,             0.74188,              0.7267,             0.85356,             0.42195,            0.041359,            0.019234,            0.018572,           0.0053535,           0.0053535,            0.045653
                  23,            0.055578,            0.027128,            0.020724,             0.56467,             0.89374,             0.87322,              0.3951,            0.045593,            0.019025,            0.016723,           0.0055294,           0.0055294,            0.043229
                  24,            0.056868,            0.025328,            0.018865,             0.64713,             0.75366,             0.80831,             0.34686,            0.047016,            0.018884,            0.015274,           0.0056985,           0.0056985,            0.040798
                  25,             0.05361,            0.028267,            0.018358,             0.66878,             0.70235,             0.78424,             0.36137,            0.047542,            0.018404,            0.014036,           0.0058603,           0.0058603,             0.03836
                  26,            0.052732,            0.027303,            0.016308,             0.54729,             0.93675,             0.86186,             0.42751,            0.042664,            0.017874,            0.013056,           0.0060149,           0.0060149,            0.035915
                  27,            0.053196,            0.026921,            0.015739,             0.51922,              0.9399,              0.8389,             0.39002,            0.044249,            0.018011,            0.012693,            0.006162,            0.006162,            0.033462
                  28,             0.04987,            0.026817,            0.015479,             0.64558,             0.93976,             0.88106,             0.45029,            0.039171,            0.018017,            0.011635,           0.0063014,           0.0063014,            0.031001
                  29,            0.051726,            0.026521,            0.013407,             0.64622,             0.90385,              0.8625,             0.44435,            0.038953,            0.017943,            0.011219,            0.006433,            0.006433,            0.028533
                  30,            0.048916,            0.025396,            0.013532,             0.64335,             0.95919,              0.9041,             0.46165,             0.03966,            0.017812,            0.010344,           0.0065568,           0.0065568,            0.026057
                  31,            0.047923,            0.025374,            0.012513,             0.73905,             0.94815,             0.91598,             0.49276,            0.040442,            0.017845,           0.0097414,           0.0066724,           0.0066724,            0.023572
                  32,            0.050954,             0.02555,            0.012521,             0.73331,             0.90029,             0.88568,             0.43824,            0.039798,            0.017635,           0.0098218,           0.0067799,           0.0067799,             0.02108
                  33,            0.052748,             0.02561,            0.012223,             0.80941,              0.9095,             0.92011,             0.53264,            0.038451,            0.017277,           0.0091772,           0.0068792,           0.0068792,            0.018579
                  34,            0.049675,            0.026596,            0.011919,             0.84117,             0.88527,             0.93727,             0.55231,            0.034473,            0.017328,           0.0095102,           0.0069701,           0.0069701,             0.01607
                  35,            0.051013,            0.024913,            0.011171,             0.74538,              0.8639,             0.88709,             0.42414,            0.042423,             0.01778,           0.0086978,           0.0070527,           0.0070527,            0.013553
                  36,            0.046836,            0.025543,            0.011292,             0.78642,             0.91381,              0.9402,             0.51856,            0.037737,            0.017269,           0.0081506,           0.0071268,           0.0071268,            0.011027
                  37,            0.044023,            0.024338,            0.010782,             0.85957,             0.95332,             0.95011,             0.56161,            0.037985,            0.016963,           0.0077396,           0.0071924,           0.0071924,           0.0084924
                  38,             0.04661,            0.025015,           0.0098469,             0.90838,              0.9272,             0.97022,             0.52412,            0.036299,             0.01688,           0.0073361,           0.0071566,           0.0071566,           0.0071566
                  39,             0.04574,            0.024149,           0.0092948,             0.72031,             0.90857,             0.89817,             0.47662,            0.040552,            0.017649,           0.0074931,           0.0071566,           0.0071566,           0.0071566
                  40,            0.044822,            0.023991,           0.0092908,             0.79935,             0.94565,             0.93638,             0.50825,            0.034353,            0.016665,           0.0075108,           0.0070243,           0.0070243,           0.0070243
                  41,            0.038366,            0.023059,           0.0086823,             0.87962,             0.94323,             0.97072,             0.58649,            0.032856,             0.01652,           0.0066799,           0.0068906,           0.0068906,           0.0068906
