group,image_name,image_path,max_tokens,n,mean_ms,std_ms,min_ms,max_ms
simple,simple_01.png,./test_images/simple/simple_01.png,30,1,743.231532,0.000000,743.231532,743.231532
simple,simple_02.png,./test_images/simple/simple_02.png,30,1,738.072508,0.000000,738.072508,738.072508
simple,simple_03.png,./test_images/simple/simple_03.png,30,1,738.803591,0.000000,738.803591,738.803591
simple,simple_04.png,./test_images/simple/simple_04.png,30,1,743.324838,0.000000,743.324838,743.324838
simple,simple_05.png,./test_images/simple/simple_05.png,30,1,744.528880,0.000000,744.528880,744.528880
complex,complex_01.jpg,./test_images/complex/complex_01.jpg,30,1,794.512057,0.000000,794.512057,794.512057
complex,complex_02.jpg,./test_images/complex/complex_02.jpg,30,1,794.760054,0.000000,794.760054,794.760054
complex,complex_03.jpg,./test_images/complex/complex_03.jpg,30,1,724.537083,0.000000,724.537083,724.537083
complex,complex_04.jpg,./test_images/complex/complex_04.jpg,30,1,721.346647,0.000000,721.346647,721.346647
complex,complex_5.jpg,./test_images/complex/complex_5.jpg,30,1,821.379957,0.000000,821.379957,821.379957
